MIN,K0,K5,K10,K15,K20,K25,K30,K35,K40,FINISHED
0,20,0,0,0,0,0,0,0,0,0
10,10640,0,0,0,0,0,0,0,0,0
20,16000,180,0,0,0,0,0,0,0,0
30,16000,5360,0,0,0,0,0,0,0,0
40,26640,13840,1380,0,0,0,0,0,0,0
50,35280,16980,4040,0,0,0,0,0,0,0
60,41400,18620,8580,720,60,0,0,0,0,0
70,41400,25460,14400,3320,60,0,0,0,0,0
80,41400,33080,15900,6120,720,40,0,0,0,0
90,41400,38980,19860,10360,2920,100,20,0,0,0
100,41400,41260,25500,14440,6000,360,80,0,0,0
110,41400,41400,31740,16540,8300,2060,380,40,0,0
120,41400,41400,36400,21080,11480,4640,600,160,0,0
130,41400,41400,40200,25680,14840,7320,1480,160,40,0
140,41400,41400,41060,31600,23200,9920,3680,600,120,0
150,41400,41400,41280,34560,27380,12460,6080,1060,40,0
160,41400,41400,41300,38080,27440,16300,8440,2580,800,120
170,41400,41400,41300,39640,30260,18480,10860,4360,1000,420
180,41400,41400,41300,40900,32340,23180,13400,7240,1780,760
190,41400,41400,41300,41020,35460,23440,16200,9120,3300,1540
200,41400,41400,41300,41220,38440,29880,18420,11560,4820,2540
210,41400,41400,41300,41220,39640,30860,22440,13680,7320,3760
220,41400,41400,41400,41400,41020,33920,22640,15740,9780,5620
230,41400,41400,41400,41400,41260,36320,28220,18060,11880,7520
240,41400,41400,41400,41400,41400,38400,28700,21580,13740,9640
250,41400,41400,41400,41400,41400,39620,31840,22020,15020,11660
260,41400,41400,41400,41400,41400,40540,34160,26740,17760,13240
270,41400,41400,41400,41400,41400,40700,36300,27200,19720,14320
280,41400,41400,41400,41400,41400,41080,37800,29700,21460,16320
290,41400,41400,41400,41400,41400,41220,38860,31960,24260,18920
300,41400,41400,41400,41400,41400,41220,39360,33260,24940,21120
310,41400,41400,41400,41400,41400,41220,39980,35040,26840,23540
320,41400,41400,41400,41400,41400,41220,40420,36520,29680,25640
330,41400,41400,41400,41400,41400,41220,40720,37660,31880,27360
340,41400,41400,41400,41400,41400,41220,40720,38940,33500,29260
350,41400,41400,41400,41400,41400,41220,40720,39460,34700,31380
360,41400,41400,41400,41400,41400,41220,40720,39900,35520,32700
370,41400,41400,41400,41400,41400,41220,40720,39980,37360,34040
380,41400,41400,41400,41400,41400,41220,40720,40360,38120,35520
390,41400,41400,41400,41400,41400,41220,40720,40460,38800,36420
400,41400,41400,41400,41400,41400,41220,40720,40480,39320,37380
410,41400,41400,41400,41400,41400,41220,40720,40480,39440,38120
420,41400,41400,41400,41400,41400,41220,40720,40480,39780,38740
430,41400,41400,41400,41400,41400,41220,40720,40480,40200,39000
440,41400,41400,41400,41400,41400,41220,40720,40480,40260,39480
450,41400,41400,41400,41400,41400,41220,40720,40480,40320,39480
460,41400,41400,41400,41400,41400,41220,40720,40480,40320,39980
470,41400,41400,41400,41400,41400,41220,40720,40480,40320,40320
480,41400,41400,41400,41400,41400,41220,40720,40480,40480,40480
490,41400,41400,41400,41400,41400,41220,40720,40480,40480,40480
